Username,Comment,Likes,Commented_on,Updated_on
Bob Nevitt,"Whilst i find the re-builds that you do interesting and i admire your skills, i'm amazed that you are able to take an unregistered, just rebuilt vehicle without a DOT test on the public highway, with the added issue that you were towing a trailer without any lights or indicators etc! What would happen if you were involved in an accident, are you even insured? This would be totally unacceptable here in the UK, the police would have pulled you over and probably siezed the vehicle and prosecuted you, even maybe losing your licence to drive!
Personally i believe it is foolhardy of you to do this and does not set a good example to other road users?",0,2023-09-01T07:13:32Z,2023-09-01T07:13:32Z
cADIc,"Hi guys. I have a suggestion for you. Please consider buying some land and making your own circuit, drag and everything you need to test the cars when they are ready. Also, you are safe there and don't worry about the cops. I am convinced that it is possible for you and from my point of view it would be completely your business. Repair shop, paint shop, test circuit.

Love you guys and stay safe ❤",0,2023-09-01T06:37:06Z,2023-09-01T06:37:06Z
Polly g,#WRAP put a whitewrap on the caliper to see how it will look,0,2023-09-01T06:20:46Z,2023-09-01T06:20:46Z
Polly g,"#SCAM Beware of scam comments pretending to be from the boys asking you to press a link, the bad English should be warning enough",0,2023-09-01T06:18:57Z,2023-09-01T06:18:57Z
Polly g,#NOOOO am i seeing the doors dont color match the fenders??,0,2023-09-01T06:17:02Z,2023-09-01T06:17:02Z
Polly g,i dont care how good Simeon is at designing and selling merch its not covering the cost of this Lambo and 30k so those who say its a money grab BS they are losing money and look at Matt Armstrong you have to buy tickets to win his builds at least you get something with Goonzquad if you dont win,1,2023-09-01T06:06:31Z,2023-09-01T06:06:31Z
Gabriel G,"Hello Goonzquad friends, 👋 I have a car suggestion 🚗 that I think you would like. If you have the opportunity, check out the Mustang Ford 2024 🐎. It might be worth considering acquiring one at the beginning of summer 2023 ☀, and if any repairs are necessary, it could be transformed into an exciting project 🔧🔨. Please take care 😊.",0,2023-09-01T05:07:06Z,2023-09-01T05:07:06Z
steve mccormick,"If you want a primer on how to really use that scanner, go watch pine hollow auto diagnosis.  That guy knows how to work through complex electrical issues.",0,2023-09-01T02:50:29Z,2023-09-01T02:50:29Z
Joseph Acosta,Danng Son!!!! Epic,0,2023-09-01T02:39:38Z,2023-09-01T02:39:38Z
Uninx Peekster,Best if the trailer was painted all white as well. But still beautiful tandem.,0,2023-09-01T00:57:14Z,2023-09-01T00:57:14Z
John Mays,nothing in chattanooga has ever been more epic than this Uras trailering the SJ around town.,0,2023-09-01T00:52:24Z,2023-09-01T00:52:24Z
Gentleman J.,"What happened with BRISTOL, NO INVITE cause of ur arrogance and trying to sell ur overpriced crap and flaunting ur money.",1,2023-09-01T00:13:34Z,2023-09-01T00:13:34Z
Clarrie,HEY SIMIEON IVE BEEN TRYING TO CONTACT YOU GUYS GRAHAM FROM AUSTRALIA CAN YOU PLEASE LET ME KNOW  SO WE CAN HAVE THAT CHAT YOUR NO 1 FAN IN AUSTRALIA CHEERS GRAHAM,0,2023-08-31T23:30:42Z,2023-08-31T23:30:42Z
Joanne South,"YOU GUYS NEVER FAIL TO IMPRESS!! GREAT JOB ,, FAVORITE PART OF A BUILD.. WHEN YOU TWO GET TO CRUISE & ENJOY IT",4,2023-08-31T22:50:41Z,2023-08-31T22:50:41Z
Fitness-4lyfe,"26:00 That's almost 800k on the road at once; you boys push it to the limit, huh!",0,2023-08-31T22:41:17Z,2023-08-31T22:42:06Z
John Smith,Who was the IDIOT that decided to Wrap it? I KNOW WHO! :),0,2023-08-31T22:21:13Z,2023-08-31T22:21:13Z
John Smith,I have a GREAT idea for you! Only Fast Forward the video when you're running your big fat mouth. Regular speed when the actual work is being done.,1,2023-08-31T22:13:28Z,2023-08-31T22:13:28Z
andrew snyder,"Went from doing ""how to"" videos on quads to towing a Lambo with your Lambo     💪💪💪💪",0,2023-08-31T22:01:30Z,2023-08-31T22:01:30Z
Artificial Intelligence,Those black fender flairs don't look good.,0,2023-08-31T20:25:46Z,2023-08-31T20:25:46Z
tractor enthusiasts,What's the song that's playing at 26:50,0,2023-08-31T20:25:10Z,2023-08-31T20:25:10Z
CAR-DCD,Soo much better than the wrap. But... imagine if they both were green 🟢❤,0,2023-08-31T19:40:32Z,2023-08-31T19:40:32Z
mikeguitarification,GTM GTM GTM.. What happened.,1,2023-08-31T19:38:39Z,2023-08-31T19:38:39Z
Bendmac Manufacturing,Urus contest guys !!!,0,2023-08-31T19:06:43Z,2023-08-31T19:06:43Z
M.A G,The best scanner out there,0,2023-08-31T18:46:43Z,2023-08-31T18:46:43Z
MrPotteeMouf,Where did all the professional electricians and inspectors go?,0,2023-08-31T18:39:05Z,2023-08-31T18:39:05Z
Mosab مصعب,Pullin A Lambo With A Lambo .. Ultimate flex,0,2023-08-31T18:33:02Z,2023-08-31T18:33:02Z
Andries Cornelius Nienaber,That's the scanner,0,2023-08-31T18:21:32Z,2023-08-31T18:21:32Z
Oniel Potter,What's the name of beat that was playing in the background??,0,2023-08-31T18:16:36Z,2023-08-31T18:16:36Z
Philip Jemmott,I love Goon Squad and I have been watching it for years now but I am I'm happy weather thought that you are scamming your viewers and getting rich on your giveaways like we are stupid,0,2023-08-31T17:24:25Z,2023-08-31T17:24:25Z
FlexxHendrixxENT LLC,The white paint is not made for that car period needs to be more of a black or a dark colored car.,0,2023-08-31T17:18:22Z,2023-08-31T17:18:22Z
capolotnate,giveaway on that blue wave bayboat !?????  Would love that,1,2023-08-31T17:15:23Z,2023-08-31T17:15:23Z
short vidz,That rear bumper isn't matching though,0,2023-08-31T17:12:01Z,2023-08-31T17:12:01Z
Charles Wilson,It’s about time they bout a computer to clear codes,0,2023-08-31T16:36:57Z,2023-08-31T16:36:57Z
Nef,Awesome the viper is coming down one level at a time.....😂,0,2023-08-31T16:31:22Z,2023-08-31T16:31:22Z
Trevor Buckley,It would be very interesting if you explained how you fixed the handles to that board for painting. Very interesting to see,0,2023-08-31T16:10:07Z,2023-08-31T16:10:07Z
Yoyo Garage,Awesome job!!!! Another great build 🔥🔥🔥🔥,1,2023-08-31T15:40:01Z,2023-08-31T15:40:01Z
Brandon P,Still not 100% park it and let it collect dust while you pimp some super epic overpriced car wash.,0,2023-08-31T15:23:53Z,2023-08-31T15:23:53Z
